idx,wn_id,labels,parent_wn_id,parent_labels,children_wn_ids,children_labels,depth,description,class_id,simplified,keras,coarse-grained
5343,n03827107,"['node', 'client', 'guest']",n03082979,"['computer', 'computing_machine', 'computing_device', 'data_processor', 'electronic_computer', 'information_processing_system']",[],[],9,(computer science) any computer that is hooked up to a computer network,-1,,,
5344,n12036067,['achene'],n13134947,['fruit'],['n12036226'],"[['samara', 'key_fruit', 'key']]",9,small dry indehiscent fruit with the seed distinct from the fruit wall,-1,,,
5345,n03669665,"['limelight', 'calcium_light']",n03636248,['lamp'],[],[],9,a lamp consisting of a flame directed at a cylinder of lime with a lens to concentrate the light; formerly used for stage lighting,-1,,,
5346,n04381587,"['table-tennis_table', 'ping-pong_table', 'pingpong_table']",n04379243,['table'],[],[],9,a table used for playing table tennis,-1,,,
5347,n03877674,"['pajama', 'pyjama']",n04489008,"['trouser', 'pant']",[],[],9,a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries,-1,,,
5348,n04501837,"['turntable', 'lazy_Susan']",n04476259,['tray'],[],[],9,a revolving tray placed on a dining table,-1,,,
5349,n01788291,['Asian_horseshoe_crab'],n01767661,['arthropod'],[],[],9,horseshoe crab of the coast of eastern Asia,-1,,,
5350,n04409279,['tender'],n02959942,"['car', 'railcar', 'railway_car', 'railroad_car']",[],[],9,car attached to a locomotive to carry fuel and water,-1,,,
5351,n03440682,"['glockenspiel', 'orchestral_bells']",n03915437,"['percussion_instrument', 'percussive_instrument']",[],[],9,a percussion instrument consisting of a set of graduated metal bars mounted on a frame and played with small hammers,-1,,,
5352,n07931870,['May_wine'],n07930554,['punch'],[],[],9,a punch made of Moselle and sugar and sparkling water or champagne flavored with sweet woodruff,-1,,,
5353,n02903204,"['broadcaster', 'spreader']",n03736970,['mechanical_device'],[],[],9,a mechanical device for scattering something (seed or fertilizer or sand etc.) in all directions,-1,,,
5354,n04021028,"['pullover', 'slipover']",n04370048,"['sweater', 'jumper']",['n04370456'],[['sweatshirt']],9,a sweater that is put on by pulling it over the head,-1,,,
5355,n04159354,['seal'],n03323703,"['fastener', 'fastening', 'holdfast', 'fixing']","['n02894431', 'n03423719', 'n03949145', 'n04554871']","[['break_seal'], ['gasket'], ['piston_ring'], ['washer']]",9,fastener that provides a tight and perfect closure,-1,,,
5356,n04027706,"['pusher', 'zori']",n04133789,['sandal'],[],[],9,a sandal attached to the foot by a thong over the toes,-1,,,
5357,n02835271,"['bicycle-built-for-two', 'tandem_bicycle', 'tandem']",n02834778,"['bicycle', 'bike', 'wheel', 'cycle']",[],[],9,a bicycle with two sets of pedals and two seats,444,tandem bicycle,bicycle-built-for-two,vehicle
5358,n07894102,['Beaujolais'],n07893891,"['Burgundy', 'Burgundy_wine']",[],[],9,dry fruity light red wine drunk within a few months after it is made; from the Beaujolais district in southeastern France,-1,,,
5359,n02758490,"['auger', 'gimlet', 'screw_auger', 'wimble']",n03239726,['drill'],[],[],9,hand tool for boring holes,-1,,,
5360,n03774327,"['miter_box', 'mitre_box']",n03489162,['hand_tool'],[],[],9,hand tool for guiding handsaws in making crosscuts or miter joints,-1,,,
5361,n13075272,['Cortinarius_gentilis'],n12998815,['agaric'],[],[],9,a poisonous fungus with a bright yellow brown cap and a long cinnamon colored stalk,-1,,,
5362,n02962061,['carboy'],n02876657,['bottle'],[],[],9,a large bottle for holding corrosive liquids; usually cushioned in a special container,-1,,,
5363,n03710721,"['maillot', 'tank_suit']",n04371563,"['swimsuit', 'swimwear', 'bathing_suit', 'swimming_costume', 'bathing_costume']",[],[],9,a woman's one-piece bathing suit,639,tank suit,maillot,clothing
5364,n03722288,"['marketplace', 'market_place', 'mart', 'market']",n03748162,"['mercantile_establishment', 'retail_store', 'sales_outlet', 'outlet']","['n08492461', 'n02684962', 'n02813645', 'n03461385', 'n03847823', 'n04234969']","[['agora'], ['agora', 'public_square'], ['bazaar', 'bazar'], ['grocery_store', 'grocery', 'food_market', 'market'], ['open-air_market', 'open-air_marketplace', 'market_square'], ['slave_market']]",9,an area in a town where a public mercantile establishment is set up,-1,,,
5365,n03804744,['nail'],n03323703,"['fastener', 'fastening', 'holdfast', 'fixing']","['n02888817', 'n03052917', 'n03223441', 'n03267256', 'n03388466', 'n03523849', 'n04225337', 'n04275904', 'n04303258', 'n04343272', 'n04383130', 'n04410485']","[['brad'], ['clout_nail', 'clout'], ['doornail'], ['eightpenny_nail'], ['fourpenny_nail'], ['hobnail'], ['sixpenny_nail'], ['spike'], ['staple'], ['stub_nail'], ['tack'], ['tenpenny_nail']]",9,a thin pointed piece of metal that is hammered into materials as a fastener,677,nail,nail,tool
5366,n04380617,"['table_linen', 'napery']",n03672352,['linen'],"['n03160894', 'n03807537', 'n03952886', 'n04380143', 'n04476526']","[['damask'], ['napkin', 'table_napkin', 'serviette'], ['place_mat'], ['tablecloth'], ['tray_cloth']]",9,linens for the dining table,-1,,,
5367,n04167228,['seeder'],n03621049,['kitchen_utensil'],[],[],9,a kitchen utensil that removes seeds from fruit,-1,,,
5368,n04118538,['rugby_ball'],n02778669,['ball'],[],[],9,inflated oval ball used in playing rugby,768,rugby ball,rugby ball,ball
5369,n03965456,"['plaza', 'mall', 'center', 'shopping_mall', 'shopping_center', 'shopping_centre']",n03748162,"['mercantile_establishment', 'retail_store', 'sales_outlet', 'outlet']",[],[],9,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace,-1,,,
5370,n04107743,['room_light'],n03665366,"['light', 'light_source']",[],[],9,light that provides general illumination for a room,-1,,,
5371,n04275175,['spice_rack'],n04038440,"['rack', 'stand']",[],[],9,a rack for displaying containers filled with spices,-1,,,
5372,n13009244,['Pholiota_squarrosa-adiposa'],n12998815,['agaric'],[],[],9,a gilled fungus having yellow slimy caps with conspicuous tawny scales on the caps and stalks,-1,,,
5373,n01928865,"['beard_worm', 'pogonophoran']",n01922303,['worm'],[],[],9,slender animal with tentacles and a tubelike outer covering; lives on the deep ocean bottom,-1,,,
5374,n02861509,"['bodkin', 'threader']",n03489162,['hand_tool'],[],[],9,a blunt needle for threading ribbon through loops,-1,,,
5375,n04355511,['sundress'],n03236735,"['dress', 'frock']",[],[],9,a light loose sleeveless summer dress with a wide neckline and thin shoulder straps that expose the arms and shoulders,-1,,,
5376,n03610992,['kerchief'],n04143897,['scarf'],"['n03505504', 'n03814817']","[['headscarf'], ['neckerchief']]",9,a square scarf that is folded into a triangle and worn over the head or about the neck,-1,,,
5377,n02739550,['armoire'],n04550184,"['wardrobe', 'closet', 'press']",[],[],9,a large wardrobe or cabinet; originally used for storing weapons,-1,,,
5378,n07697537,"['hotdog', 'hot_dog', 'red_hot']",n07695965,['sandwich'],['n07865105'],[['chili_dog']],9,a frankfurter served hot on a bun,934,hot dog,hotdog,food
5379,n03461882,['groined_vault'],n04523525,['vault'],[],[],9,two barrel vaults intersecting at right angles,-1,,,
5380,n03597147,"[""jeweler's_glass""]",n03852280,['optical_instrument'],[],[],9,an optical instrument used by jewelers; has one or more lenses and is used to view features not readily seen,-1,,,
5381,n13232779,"['honey_mushroom', 'honey_fungus', 'Armillariella_mellea']",n12998815,['agaric'],[],[],9,a honey-colored edible mushroom commonly associated with the roots of trees in late summer and fall; do not eat raw,-1,,,
5382,n02881757,"['bowler_hat', 'bowler', 'derby_hat', 'derby', 'plug_hat']",n03497657,"['hat', 'chapeau', 'lid']",[],[],9,a felt hat that is round and hard with a narrow brim,-1,,,
5383,n13017979,['Tricholoma_venenata'],n12998815,['agaric'],[],[],9,a poisonous white agaric,-1,,,
5384,n04173046,['septic_tank'],n04388743,"['tank', 'storage_tank']",[],[],9,large tank where solid matter or sewage is disintegrated by bacteria,-1,,,
5385,n02670935,['accelerometer'],n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']",[],[],9,an instrument for measuring the acceleration of aircraft or rockets,-1,,,
5386,n03688832,"['looking_glass', 'glass']",n03773035,['mirror'],[],[],9,a mirror; usually a ladies' dressing mirror,-1,,,
5387,n04437953,"['timepiece', 'timekeeper', 'horologe']",n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']","['n02753394', 'n03046257', 'n04134632', 'n04355338', 'n04438304', 'n04555897']","[['atomic_clock'], ['clock'], ['sandglass'], ['sundial'], ['timer'], ['watch', 'ticker']]",9,a measuring instrument or device for keeping time,-1,,,
5388,n04397168,['tea_chest'],n03014705,['chest'],[],[],9,chest for storing or transporting tea,-1,,,
5389,n13017789,"['man-on-a-horse', 'Tricholoma_flavovirens']",n12998815,['agaric'],[],[],9,an edible agaric with yellow gills and a viscid yellow cap that has a brownish center,-1,,,
5390,n07697699,['Sloppy_Joe'],n07695965,['sandwich'],[],[],9,ground beef (not a patty) cooked in a spicy sauce and served on a bun,-1,,,
5391,n03710294,['mail_car'],n02959942,"['car', 'railcar', 'railway_car', 'railroad_car']",[],[],9,a railway car in which mail is transported and sorted,-1,,,
5392,n04346328,"['stupa', 'tope']",n04210390,['shrine'],[],[],9,a dome-shaped shrine erected by Buddhists,832,stupa,stupa,building
5393,n03514129,"['hematocrit', 'haematocrit']",n02995998,"['centrifuge', 'extractor', 'separator']",[],[],9,a measuring instrument to determine (usually by centrifugation) the relative amounts of corpuscles and plasma in the blood,-1,,,
5394,n03256631,"['dunce_cap', ""dunce's_cap"", ""fool's_cap""]",n03497657,"['hat', 'chapeau', 'lid']",[],[],9,a cone-shaped paper hat formerly placed on the head of slow or lazy pupils,-1,,,
5395,n03333711,['field_lens'],n03656484,"['lens', 'lense', 'lens_system']",[],[],9,the lens that is farthest from the eye in an optical device with more than one lens,-1,,,
5396,n04384910,"['taillight', 'tail_lamp', 'rear_light', 'rear_lamp']",n03636248,['lamp'],[],[],9,lamp (usually red) mounted at the rear of a motor vehicle,-1,,,
5397,n04576971,['wheelwork'],n03736970,['mechanical_device'],['n03431745'],"[['gearing', 'gear', 'geartrain', 'power_train', 'train']]",9,mechanical device including an arrangement of wheel in a machine (especially a train of gears),-1,,,
5398,n12644283,['marasca'],n13134947,['fruit'],[],[],9,small bitter fruit of the marasca cherry tree from whose juice maraschino liqueur is made,-1,,,
5399,n02837309,['biggin'],n02954340,['cap'],[],[],9,a child's tight-fitting cap; often ties under the chin,-1,,,
5400,n07741235,['Northern_Spy'],n07739506,"['eating_apple', 'dessert_apple']",[],[],9,large late-ripening apple with skin striped with yellow and red,-1,,,
5401,n03176763,"['department_store', 'emporium']",n03748162,"['mercantile_establishment', 'retail_store', 'sales_outlet', 'outlet']",[],[],9,a large retail store organized into departments offering a variety of merchandise; commonly part of a retail chain,-1,,,
5402,n03116767,"['counter', 'tabulator']",n02938886,"['calculator', 'calculating_machine']",['n04021362'],[['pulse_counter']],9,a calculator that keeps a record of the number of times something happens,-1,,,
5403,n04229816,['ski_mask'],n03314378,['face_mask'],[],[],9,a woolen face mask to protect the face from cold while skiing on snow,796,ski mask,ski mask,clothing
5404,n03534580,"['hoopskirt', 'crinoline']",n04230808,['skirt'],[],[],9,a skirt stiffened with hoops,601,hoop skirt,hoopskirt,clothing
5405,n04263257,['soup_bowl'],n02880940,['bowl'],[],[],9,a bowl for serving soup,809,soup bowl,soup bowl,cooking
5406,n03490449,['handwheel'],n03096960,"['control', 'controller']",['n04313503'],"[['steering_wheel', 'wheel']]",9,control consisting of a wheel whose rim serves as the handle by which a part is operated,-1,,,
5407,n03788914,"['Mother_Hubbard', 'muumuu']",n03236735,"['dress', 'frock']",[],[],9,a woman's loose unbelted dress,-1,,,
5408,n04376400,"['synthesizer', 'synthesiser']",n03279153,"['electronic_instrument', 'electronic_musical_instrument']",[],[],9,(music) an electronic instrument (usually played with a keyboard) that generates and modifies sounds electronically and can imitate a variety of other musical instruments,-1,,,
5409,n02110806,['basenji'],n02084071,"['dog', 'domestic_dog', 'Canis_familiaris']",[],[],9,small smooth-haired breed of African origin having a tightly curled tail and the inability to bark,253,Basenji,basenji,dog
5410,n02940570,['caller_ID'],n03211117,"['display', 'video_display']",[],[],9,a small display that will show you the telephone number of the party calling you,-1,,,
5411,n03615563,['khakis'],n03763968,['military_uniform'],[],[],9,a military uniform made of khaki fabric,-1,,,
5412,n13020481,['Volvariella_bombycina'],n12998815,['agaric'],[],[],9,a mushroom with a dry yellowish to white fibrillose cap,-1,,,
5413,n04421417,['thermograph'],n03739693,['medical_instrument'],[],[],9,medical instrument that uses an infrared camera to reveal temperature variations on the surface of the body,-1,,,
5414,n04596116,['wishing_cap'],n02954340,['cap'],[],[],9,a magical cap that secures whatever one wishes for,-1,,,
5415,n01787191,"['Merostomata', 'class_Merostomata']",n01767661,['arthropod'],[],[],9,used in some classifications; includes the orders Xiphosura and Eurypterida,-1,,,
5416,n13001206,['toadstool'],n12998815,['agaric'],[],[],9,common name for an inedible or poisonous agaric (contrasting with the edible mushroom),-1,,,
5417,n03624134,['knife'],n04565375,"['weapon', 'arm', 'weapon_system']","['n02812949', 'n03158885', 'n03615790', 'n03699591', 'n04198722', 'n04479287', 'n04612257']","[['bayonet'], ['dagger', 'sticker'], ['khukuri'], ['machete', 'matchet', 'panga'], ['shiv'], ['trench_knife'], ['yataghan']]",9,a weapon with a handle and blade with a sharp point,-1,,,
5418,n04340019,['strip_mall'],n03748162,"['mercantile_establishment', 'retail_store', 'sales_outlet', 'outlet']",[],[],9,a mercantile establishment consisting of a row of various stores and business and restaurants along a road or busy street; usually opening on a parking lot,-1,,,
5419,n03547530,"['huarache', 'huaraches']",n04133789,['sandal'],[],[],9,a sandal with flat heels and an upper of woven leather straps,-1,,,
5420,n03974915,['point-and-shoot_camera'],n02942699,"['camera', 'photographic_camera']",[],[],9,a lightweight photographic camera with an autofocus,-1,,,
5421,n03071552,"['colorimeter', 'tintometer']",n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']",[],[],9,a measuring instrument used in colorimetric analysis to determine the quantity of a substance from the color it yields with specific reagents,-1,,,
5422,n04256891,"['softball', 'playground_ball']",n02778669,['ball'],[],[],9,ball used in playing softball,-1,,,
5423,n13150592,['schizocarp'],n13134947,['fruit'],[],[],9,a dry dehiscent fruit that at maturity splits into two or more parts each with a single seed,-1,,,
5424,n03420935,"['garrote', 'garotte', 'garrotte', 'iron_collar']",n03575691,['instrument_of_execution'],[],[],9,an instrument of execution for execution by strangulation,-1,,,
5425,n03166514,['deanery'],n04079244,['residence'],[],[],9,the official residence of a dean,-1,,,
5426,n07740855,['Jonathan'],n07739506,"['eating_apple', 'dessert_apple']",[],[],9,red late-ripening apple; primarily eaten raw,-1,,,
5427,n02931836,['caber'],n03976657,['pole'],[],[],9,a heavy wooden pole (such as the trunk of a young fir) that is tossed as a test of strength (in the Highlands of northern Scotland),-1,,,
5428,n07613480,['trifle'],n07612996,"['pudding', 'pud']",['n07613671'],[['tipsy_cake']],9,"a cold pudding made of layers of sponge cake spread with fruit or jelly; may be decorated with nuts, cream, or chocolate",927,trifle,trifle,food
5429,n04547592,['wall'],n03327234,"['fence', 'fencing']","['n03895038', 'n04082710']","[['party_wall'], ['retaining_wall']]",9,a masonry fence (as around an estate or garden),-1,,,
5430,n04071393,['regimentals'],n03763968,['military_uniform'],[],[],9,the military uniform and insignia of a regiment,-1,,,
5431,n03324928,['fatigues'],n03763968,['military_uniform'],[],[],9,military uniform worn by military personnel when doing menial labor,-1,,,
5432,n04418818,"['theater_stage', 'theatre_stage']",n04296562,['stage'],"['n02858044', 'n04430738']","[['boards'], ['thrust_stage']]",9,a stage in a theater on which actors can perform,-1,,,
5433,n04056599,['ravehook'],n03489162,['hand_tool'],[],[],9,a hooked hand tool used to prepare the seams of a boat for oakum,-1,,,
5434,n13075847,['Cortinarius_subfoetidus'],n12998815,['agaric'],[],[],9,a fungus with a sticky lavender cap and stalk that whitish above and covered with a silky lavender sheath,-1,,,
5435,n04462011,"['toy_box', 'toy_chest']",n03014705,['chest'],[],[],9,chest for storage of toys,-1,,,
5436,n03395859,['Fresnel_lens'],n03656484,"['lens', 'lense', 'lens_system']",[],[],9,lens composed of a number of small lenses arranged to make a lightweight lens of large diameter and short focal length,-1,,,
5437,n03393324,['free-reed_instrument'],n04586932,"['wind_instrument', 'wind']","['n02672831', 'n02701730', 'n03086670', 'n03494278', 'n03494537']","[['accordion', 'piano_accordion', 'squeeze_box'], ['American_organ'], ['concertina'], ['harmonica', 'mouth_organ', 'harp', 'mouth_harp'], ['harmonium', 'organ', 'reed_organ']]",9,a wind instrument with a free reed,-1,,,
5438,n02835829,['bicycle_rack'],n04038727,['rack'],[],[],9,a rack for parking bicycles,-1,,,
5439,n02804123,['bass_guitar'],n02803349,['bass'],[],[],9,the guitar with six strings that has the lowest pitch,-1,,,
5440,n03612965,"['kettle', 'kettledrum', 'tympanum', 'tympani', 'timpani']",n03915437,"['percussion_instrument', 'percussive_instrument']",[],[],9,a large hemispherical brass or copper percussion instrument with a drumhead that can be tuned by adjusting the tension on it,-1,,,
5441,n03481172,['hammer'],n03489162,['hand_tool'],"['n02783035', 'n02898173', 'n02966545', 'n03715386', 'n03731695', 'n03966751', 'n04383301']","[['ball-peen_hammer'], [""bricklayer's_hammer""], [""carpenter's_hammer"", 'claw_hammer', 'clawhammer'], ['mallet', 'beetle'], ['maul', 'sledge', 'sledgehammer'], ['plexor', 'plessor', 'percussor'], ['tack_hammer']]",9,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,587,hammer,hammer,tool
5442,n01322508,"['wolf_pup', 'wolf_cub']",n02114100,['wolf'],[],[],9,a young wolf,-1,,,
5443,n03995372,['power_drill'],n03239726,['drill'],"['n03240140', 'n03971321']","[['electric_drill'], ['pneumatic_drill']]",9,a power tool for drilling holes into hard materials,740,power drill,power drill,electronics
5444,n03316105,"['facsimile', 'facsimile_machine', 'fax']",n03257586,"['duplicator', 'copier']",[],[],9,duplicator that transmits the copy by wire or radio,-1,,,
5445,n03946076,['pipe_cutter'],n03489162,['hand_tool'],[],[],9,a hand tool for cutting pipe,-1,,,
5446,n03943448,['pinner'],n02954340,['cap'],[],[],9,a woman's cap with two long flaps pinned on,-1,,,
5447,n03272383,['electric_lamp'],n03636248,['lamp'],"['n02735361', 'n03271376', 'n03359137', 'n03665924', 'n04242084']","[['arc_lamp', 'arc_light'], ['electric-discharge_lamp', 'gas-discharge_lamp'], ['flashlight', 'torch'], ['light_bulb', 'lightbulb', 'bulb', 'incandescent_lamp', 'electric_light', 'electric-light_bulb'], ['slit_lamp']]",9,a lamp powered by electricity,-1,,,
5448,n07856270,"['spread', 'paste']",n07810907,['condiment'],"['n07856895', 'n07856756', 'n07856992', 'n07857076', 'n07857731', 'n07856045', 'n07672914', 'n07855603', 'n07857170', 'n07855413', 'n07855721', 'n07857959', 'n07855510', 'n07855812', 'n07855907', 'n07858484', 'n07858336']","[['anchovy_butter'], ['cheese_spread'], ['fishpaste'], ['garlic_butter'], ['hummus', 'humus', 'hommos', 'hoummos', 'humous'], ['lobster_butter'], ['margarine', 'margarin', 'oleo', 'oleomargarine', 'marge'], ['marshmallow_fluff'], ['miso'], ['nut_butter'], ['onion_butter'], ['pate'], ['peanut_butter'], ['pimento_butter'], ['shrimp_butter'], ['tahini'], ['tapenade']]",9,a tasty mixture to be spread on bread or crackers or used in preparing other dishes,-1,,,
5449,n02123045,"['tabby', 'tabby_cat']",n02121808,"['domestic_cat', 'house_cat', 'Felis_domesticus', 'Felis_catus']",[],[],9,a cat with a grey or tawny coat mottled with black,281,tabby cat,tabby,cat
5450,n13076831,['Gymnopilus_ventricosus'],n12998815,['agaric'],[],[],9,a giant fungus of the Pacific Northwest; has a very thick stalk and the cortina leaves a ring high up on the stalk,-1,,,
5451,n04474922,['trap'],n03736970,['mechanical_device'],[],[],9,a device to hurl clay pigeons into the air for trapshooters,-1,,,
5452,n03364008,"['flip-flop', 'thong']",n04133789,['sandal'],[],[],9,a backless sandal held to the foot by a thong between the big toe and the second toe,-1,,,
5453,n02799071,['baseball'],n02778669,['ball'],[],[],9,a ball used in playing baseball,429,baseball,baseball,ball
5454,n04392113,"['tape', 'tapeline', 'tape_measure']",n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']",[],[],9,measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths,-1,,,
5455,n04487724,"['troop_carrier', 'troop_transport']",n03764276,['military_vehicle'],['n04487894'],[['troopship']],9,any land or sea or air vehicle designed to carry troops,-1,,,
5456,n04508489,['underpants'],n04508163,"['undergarment', 'unmentionable']","['n02837887', 'n02854739', 'n02901114', 'n03234164', 'n03885028', 'n04426427']","[['bikini_pants'], ['bloomers', 'pants', 'drawers', 'knickers'], ['briefs', 'Jockey_shorts'], ['drawers', 'underdrawers', 'shorts', 'boxers', 'boxershorts'], ['pantie', 'panty', 'scanty', 'step-in'], ['thong']]",9,an undergarment that covers the body from the waist no further than to the thighs; usually worn next to the skin,-1,,,
5457,n07718195,['cushaw'],n07717070,['winter_squash'],[],[],9,globose or ovoid squash with striped grey and green warty rind,-1,,,
5458,n03201035,['dining-room_table'],n03200906,['dining-room_furniture'],[],[],9,dining-room furniture consisting of a table on which meals can be served,-1,,,
5459,n01810268,"['tinamou', 'partridge']",n02153203,['game_bird'],[],[],9,heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds,-1,,,
5460,n04326547,['stone_wall'],n03327234,"['fence', 'fencing']",['n03252637'],"[['dry_wall', 'dry-stone_wall']]",9,a fence built of rough stones; used to separate fields,825,stone wall,stone wall,outdoor scene
5461,n13008689,['Pholiota_flammans'],n12998815,['agaric'],[],[],9,a fungus with a yellow cap covered with fine scales as is the stalk,-1,,,
5462,n04331443,['straightedge'],n03489162,['hand_tool'],[],[],9,hand tool consisting of a flat rigid rectangular bar (metal or wood) that can be used to draw straight lines (or test their straightness),-1,,,
5463,n01783017,['myriapod'],n01767661,['arthropod'],[],[],9,general term for any terrestrial arthropod having an elongated body composed of many similar segments: e.g. centipedes and millipedes,-1,,,
5464,n07819480,"['mustard', 'table_mustard']",n07810907,['condiment'],"['n07819682', 'n03994417']","[['Chinese_mustard'], ['powdered_mustard', 'dry_mustard']]",9,pungent powder or paste prepared from ground mustard seeds,-1,,,
5465,n02794156,['barometer'],n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']","['n02710600', 'n02794008', 'n03749504', 'n04567098']","[['aneroid_barometer', 'aneroid'], ['barograph'], ['mercury_barometer'], ['weatherglass']]",9,an instrument that measures atmospheric pressure,426,barometer,barometer,technology
5466,n02859829,['boat_whistle'],n04579432,['whistle'],[],[],9,a whistle on a boat that is sounded as a warning,-1,,,
5467,n04382880,"['tachometer', 'tach']",n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']",['n04382695'],[['tachograph']],9,measuring instrument for indicating speed of rotation,-1,,,
5468,n02943964,['camise'],n04197391,['shirt'],[],[],9,a loose shirt or tunic; originally worn in the Middle Ages,-1,,,
5469,n04445327,['toggle'],n03323703,"['fastener', 'fastening', 'holdfast', 'fixing']",[],[],9,a fastener consisting of a peg or pin or crosspiece that is inserted into an eye at the end of a rope or a chain or a cable in order to fasten it to something (as another rope or chain or cable),-1,,,
5470,n03686658,['log'],n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']","['n03496183', 'n03898787']","[['harpoon_log'], ['patent_log', 'screw_log', 'taffrail_log']]",9,measuring instrument that consists of a float that trails from a ship by a knotted line in order to measure the ship's speed through the water,-1,,,
5471,n04136333,['sarong'],n04230808,['skirt'],[],[],9,a loose skirt consisting of brightly colored fabric wrapped around the body; worn by both women and men in the South Pacific,775,sarong,sarong,clothing
5472,n03709206,['magnifier'],n04147495,['scientific_instrument'],"['n03760671', 'n04403638']","[['microscope'], ['telescope', 'scope']]",9,a scientific instrument that magnifies an image,-1,,,
5473,n13138842,"['pome', 'false_fruit']",n13134947,['fruit'],"['n07739125', 'n07767847', 'n07769584']","[['apple'], ['pear'], ['quince']]",9,a fleshy fruit (apple or pear or related fruits) having seed chambers and an outer fleshy part,-1,,,
5474,n13008485,['Pholiota_destruens'],n12998815,['agaric'],[],[],9,a large fungus with whitish scales on the cap and remnants of the veil hanging from the cap; the stalk is thick and hard,-1,,,
5475,n02124313,"['Abyssinian', 'Abyssinian_cat']",n02121808,"['domestic_cat', 'house_cat', 'Felis_domesticus', 'Felis_catus']",[],[],9,a small slender short-haired breed of African origin having brownish fur with a reddish undercoat,-1,,,
5476,n03618982,['kirk'],n03028079,"['church', 'church_building']",[],[],9,a Scottish church,-1,,,
5477,n03609397,['kazoo'],n04586932,"['wind_instrument', 'wind']",[],[],9,a toy wind instrument that has a membrane that makes a sound when you hum into the mouthpiece,-1,,,
5478,n02918204,['bull_tongue'],n03967562,"['plow', 'plough']",[],[],9,a heavy plow with a single wide blade; used chiefly in cotton fields,-1,,,
5479,n03337140,"['file', 'file_cabinet', 'filing_cabinet']",n03842156,['office_furniture'],"['n02963302', 'n04529681']","[['card_index', 'card_catalog', 'card_catalogue'], ['vertical_file']]",9,office furniture consisting of a container for keeping papers in order,553,filing cabinet,file,furniture
5480,n02852173,"['blinker', 'flasher']",n03665366,"['light', 'light_source']",[],[],9,a light that flashes on and off; used as a signal or to send messages,-1,,,
5481,n04112752,"['rouge', 'paint', 'blusher']",n03714235,"['makeup', 'make-up', 'war_paint']",[],[],9,makeup consisting of a pink or red powder applied to the cheeks,-1,,,
5482,n03535024,"['hope_chest', 'wedding_chest']",n03014705,['chest'],[],[],9,chest for storage of clothing (trousseau) and household goods in anticipation of marriage,-1,,,
5483,n02871824,"['boom', 'microphone_boom']",n03976657,['pole'],[],[],9,a pole carrying an overhead microphone projected over a film or tv set,-1,,,
5484,n07698250,['gyro'],n07695965,['sandwich'],[],[],9,a Greek sandwich: sliced roast lamb with onion and tomato stuffed into pita bread,-1,,,
5485,n03467517,['guitar'],n04338517,['stringed_instrument'],"['n02676566', 'n02804123', 'n03035832', 'n03272010', 'n03499907', 'n04506289']","[['acoustic_guitar'], ['bass_guitar'], ['cittern', 'cithern', 'cither', 'citole', 'gittern'], ['electric_guitar'], ['Hawaiian_guitar', 'steel_guitar'], ['uke', 'ukulele']]",9,a stringed instrument usually having six strings; played by strumming or plucking,-1,,,
5486,n03175301,"['densimeter', 'densitometer']",n03733925,"['measuring_instrument', 'measuring_system', 'measuring_device']",['n03163649'],[['dasymeter']],9,a measuring instrument for determining density or specific gravity,-1,,,
5487,n07615774,"['ice_lolly', 'lolly', 'lollipop', 'popsicle']",n07611358,['frozen_dessert'],[],[],9,ice cream or water ice on a small wooden stick,929,ice pop,ice lolly,food
5488,n03154073,"['cutter', 'cutlery', 'cutting_tool']",n03154446,['cutting_implement'],"['n02866386', 'n03030557', 'n03192907', 'n03265032', 'n03438780', 'n04435552']","[['bolt_cutter'], ['cigar_cutter'], ['die'], ['edge_tool'], ['glass_cutter'], ['tile_cutter']]",9,a cutting implement; a tool for cutting,-1,,,
5489,n07616265,['snowball'],n07611358,['frozen_dessert'],[],[],9,ball of ice cream covered with coconut and usually chocolate sauce,-1,,,
5490,n04418644,['theater_light'],n03665366,"['light', 'light_source']",['n03380134'],[['footlights']],9,any of various lights used in a theater,-1,,,
5491,n01923404,"['acanthocephalan', 'spiny-headed_worm']",n01922303,['worm'],[],[],9,any of various worms living parasitically in intestines of vertebrates having a retractile proboscis covered with many hooked spines,-1,,,
5492,n02963159,['cardigan'],n04370048,"['sweater', 'jumper']",[],[],9,knitted jacket that is fastened up the front with buttons or a zipper,474,cardigan,cardigan,clothing
5493,n02839351,['billiard_ball'],n02778669,['ball'],"['n03145719', 'n03838024']","[['cue_ball'], ['object_ball']]",9,ball used in playing billiards,-1,,,
